Fire Number,Incident Name,Fire Start Date,Initial Report Date,Fire Out Date,Region,Zone,County,Municipality,Cause,NFFL Fuel Model,Complex Type,Acreage,Latitude,Longitude,Ownership,State Land Unit Name,Total,Fatalities,Injuries,Homes Lost,Homes Threatened,Other Structures Lost,Other Structures Threatened,Reporting Ranger,Fire Report Method,Railroad Name,Location 1,New York Zip Codes,Counties,NYS Municipal Boundaries
NYS-2016-0064,First Bisby Lake Fire ,2016-04-20T00:00:00.000,2016-04-20T00:00:00.000,2016-04-22T00:00:00.000,6,6C,HERKIMER,WEBB,Power line, 8 - Timber - Light Hardwood Litter,5,0.5,43.60895,-74.93034,Private Property,n/a,0.00,0,0,0,0,0,0,"Scanlon,John ",911 Dispatch,n/a,"{'latitude': '43.60895', 'longitude': '-74.93034'}",1279,2088,666
NYS-2016-0063,Hatfield Road Fire,2016-04-18T00:00:00.000,2016-04-18T00:00:00.000,2016-04-23T00:00:00.000,3,3B,PUTNAM,CARMEL,Incendiary, 9 - Timber - Medium Hardwood Litter,5,2.5,41.38877,-73.77073,Private Property,,0.00,0,0,0,0,0,0,"Davey,Nancy H",DEC Dispatch,,"{'latitude': '41.38877', 'longitude': '-73.77073'}",1257,627,103
NYS-2016-0062,Casey Corner Store Fire,2016-04-20T00:00:00.000,2016-04-20T00:00:00.000,2016-04-20T00:00:00.000,5,5D,HAMILTON,ARIETTA,Debris Burning, 2 - Grass - Understory,5,0.1,43.42957,-74.49570,Private Property,Jessup River WF,0.00,0,0,0,0,0,0,"Kallen,David A",Sheriff,,"{'latitude': '43.42957', 'longitude': '-74.4957'}",1306,622,870
NYS-2016-0061,Cosby Manor Fire,2016-04-19T00:00:00.000,2016-04-19T00:00:00.000,2016-04-19T00:00:00.000,6,6C,ONEIDA,DEERFIELD,Incendiary, 8 - Timber - Light Hardwood Litter,5,2.6,43.12547,-75.18067,Private Property,n/a,0.00,0,0,0,0,0,0,"Piersma,Robert J",911 Dispatch,n/a,"{'latitude': '43.12547', 'longitude': '-75.18067'}",1465,625,929
NYS-2016-0060,Stone Ledge Rd Fire,2016-04-18T00:00:00.000,2016-04-18T00:00:00.000,2016-04-18T00:00:00.000,4,4A,COLUMBIA,HILLSDALE,Children, 8 - Timber - Light Hardwood Litter,5,1.6,42.25003,-73.46570,Private Property,,0.00,0,0,0,0,0,0,"DiCintio,Chris A",911 Dispatch,,"{'latitude': '42.25003', 'longitude': '-73.4657'}",973,619,516
NYS-2016-0059,Rt 30 Wells Fire,2016-04-19T00:00:00.000,2016-04-19T00:00:00.000,2016-04-19T00:00:00.000,5,5D,HAMILTON,WELLS,Power line, 8 - Timber - Light Hardwood Litter,5,1.0,43.41751,-74.27516,Private Property,,0.00,0,0,0,0,0,0,"Praczkajlo,Robert ",Other,,"{'latitude': '43.41751', 'longitude': '-74.27516'}",20,622,862
NYS-2016-0058,Dingle Daisy,2016-04-19T00:00:00.000,2016-04-19T00:00:00.000,2016-04-22T00:00:00.000,3,3B,SULLIVAN,THOMPSON,Debris Burning, 8 - Timber - Light Hardwood Litter,4,21.0,41.60708,-74.72815,Private Property,,0.00,0,0,0,0,0,0,"Quinn,Logan T",911 Dispatch,,"{'latitude': '41.60708', 'longitude': '-74.72815'}",1024,2180,650
NYS-2016-0057,Westbrookville Fire,2016-04-18T00:00:00.000,2016-04-18T00:00:00.000,2016-04-20T00:00:00.000,3,3B,SULLIVAN,MAMAKATING,Power line, 5 - Brush - Continuous but Light,5,4.0,41.57412,-74.56892,Private Property,,0.00,0,0,0,0,0,0,"Kreft,Howard K",911 Dispatch,,"{'latitude': '41.57412', 'longitude': '-74.56892'}",780,2180,653
NYS-2016-0056,Ellis Fire,2016-04-18T00:00:00.000,2016-04-18T00:00:00.000,2016-04-19T00:00:00.000,7,7A,BROOME,WINDSOR,Structure, 9 - Timber - Medium Hardwood Litter,5,4.5,42.03262,-75.72344,Private Property,N/A,0.00,0,0,0,0,1,0,"Oldroyd,Jeremy M",911 Dispatch,N/A,"{'latitude': '42.03262', 'longitude': '-75.72344'}",474,2033,936
NYS-2016-0055,Pearsten Fire,2016-04-18T00:00:00.000,2016-04-18T00:00:00.000,2016-04-18T00:00:00.000,3,3B,SULLIVAN,DELAWARE,Debris Burning, 7 - Brush - Understory,5,1.0,41.76168,-75.04350,Private Property,,0.00,0,0,0,0,0,0,"Quinn,Logan T",911 Dispatch,,"{'latitude': '41.76168', 'longitude': '-75.0435'}",1039,2180,661
NYS-2016-0054,Hoffman Rd Fire,2016-04-18T00:00:00.000,2016-04-18T00:00:00.000,2016-04-24T00:00:00.000,5,5E,ESSEX,SCHROON,Smoking, 9 - Timber - Medium Hardwood Litter,5,60.0,43.85211,-73.79699,Private Property,,0.00,0,0,0,0,0,0,"Deslauriers,Jacob P",911 Dispatch,,"{'latitude': '43.85211', 'longitude': '-73.79699'}",148,2084,427
NYS-2016-0053,Shawangunk NWR RX,2016-04-15T00:00:00.000,2016-04-18T00:00:00.000,2016-04-15T00:00:00.000,3,3B,ULSTER,SHAWANGUNK,Prescribed Fire, 3 - Grass - Heavy,4,170.0,41.63531,-74.21477,Federal Lands,NA,0.00,0,0,0,0,0,0,"Sabo,Scott L",Landowner,,"{'latitude': '41.63531', 'longitude': '-74.21477'}",1017,2182,409
NYS-2016-0052,Pond Eddy Fire,2016-04-18T00:00:00.000,2016-04-18T00:00:00.000,2016-04-20T00:00:00.000,3,3B,SULLIVAN,LUMBERLAND,Debris Burning, 7 - Brush - Understory,5,0.3,41.44059,-74.82410,Private Property,,0.00,0,0,0,0,0,0,"Quinn,Logan T",911 Dispatch,,"{'latitude': '41.44059', 'longitude': '-74.8241'}",1090,2180,654
NYS-2016-0051,Pack Forest Ledge Fire,2016-04-18T00:00:00.000,2016-04-18T00:00:00.000,2016-04-27T00:00:00.000,5,5E,WARREN,WARRENSBURG,Incendiary, 8 - Timber - Light Hardwood Litter,4,8.0,43.53690,-73.82307,Private Property,,0.00,0,0,0,0,0,0,"Kabrehl,Charles J",911 Dispatch,,"{'latitude': '43.5369', 'longitude': '-73.82307'}",156,2183,815
NYS-2016-0050,Rock Ave Rd Fire,2016-04-18T00:00:00.000,2016-04-18T00:00:00.000,2016-04-25T00:00:00.000,5,5E,WARREN,CHESTER,Miscellaneous, 9 - Timber - Medium Hardwood Litter,5,25.0,43.62568,-73.77764,Private Property,,0.00,0,0,0,0,0,0,"Donegan,Evan F",911 Dispatch,,"{'latitude': '43.62568', 'longitude': '-73.77764'}",804,2183,825
NYS-2016-0049,Woodgate Dr Fire,2016-04-18T00:00:00.000,2016-04-18T00:00:00.000,2016-04-18T00:00:00.000,6,6C,ONEIDA,FORESTPORT,Debris Burning, 9 - Timber - Medium Hardwood Litter,4,1.0,43.46600,-75.18315,Private Property,n/a,0.00,0,1,0,1,0,2,"Coscomb,Robert ",911 Dispatch,n/a,"{'latitude': '43.466', 'longitude': '-75.18315'}",550,625,926
NYS-2016-0048,Loeb,2016-04-16T00:00:00.000,2016-04-16T00:00:00.000,2016-04-16T00:00:00.000,3,3B,ORANGE,DEERPARK,Debris Burning, 9 - Timber - Medium Hardwood Litter,5,6.3,41.44037,-74.73826,Private Property,NA,0.00,0,0,0,0,0,0,"Virkler,Alexander R",911 Dispatch,,"{'latitude': '41.44037', 'longitude': '-74.73826'}",1097,2134,878
NYS-2016-0047,East Branch Fire,2016-04-17T00:00:00.000,2016-04-17T00:00:00.000,2016-04-19T00:00:00.000,4,4B,DELAWARE,HANCOCK,Fireworks, 9 - Timber - Medium Hardwood Litter,4,14.2,41.92707,-75.04870,Private Property,,0.00,0,0,0,0,0,0,"Bink,Joseph L",Landowner,,"{'latitude': '41.92707', 'longitude': '-75.0487'}",386,2039,565
NYS-2016-0046,Sand Lake Rd Fire,2016-04-17T00:00:00.000,2016-04-17T00:00:00.000,2016-04-20T00:00:00.000,5,5F,SARATOGA,DAY,Smoking, 8 - Timber - Light Hardwood Litter,5,16.5,43.33405,-74.07137,Private Property,,0.00,0,0,0,0,0,0,"Ploss,John ",911 Dispatch,,"{'latitude': '43.33405', 'longitude': '-74.07137'}",97,2141,1007
NYS-2016-0045,Lyonsdale Power Line Fire,2016-04-17T00:00:00.000,2016-04-17T00:00:00.000,2016-04-21T00:00:00.000,6,6B,LEWIS,LYONSDALE,Power line, 8 - Timber - Light Hardwood Litter,5,39.1,43.55629,-75.31410,Private Property,,0.00,0,0,0,0,0,0,"Hubschmitt,Michael ",911 Dispatch,,"{'latitude': '43.55629', 'longitude': '-75.3141'}",1285,623,618
NYS-2016-0044,Moreau State Park Fire,2016-04-17T00:00:00.000,2016-04-17T00:00:00.000,2016-04-22T00:00:00.000,5,5F,SARATOGA,MOREAU,Campfire, 8 - Timber - Light Hardwood Litter,5,8.5,43.23331,-73.74696,OPR&HP (State Parks),Moreau State Park,0.00,0,0,0,0,0,0,"Bodnar,Michael J",911 Dispatch,,"{'latitude': '43.23331', 'longitude': '-73.74696'}",93,2141,998
NYS-2016-0043,Amity Island,2016-04-17T00:00:00.000,2016-04-17T00:00:00.000,2016-04-18T00:00:00.000,9,9A,ALLEGANY,AMITY,Campfire, 4 - Brush - Heavy/Volatile,5,11.0,42.25355,-78.04856,Private Property,,0.00,0,0,0,0,0,0,"Liebig,Peter J",911 Dispatch,,"{'latitude': '42.25355', 'longitude': '-78.04856'}",1759,2031,470
NYS-2016-0042,Vrooman Hill Fire,2016-04-17T00:00:00.000,2016-04-17T00:00:00.000,2016-04-19T00:00:00.000,6,6B,JEFFERSON,ANTWERP,Miscellaneous, 1 - Grass - Light,5,6.8,44.24206,-75.70050,Private Property,,0.00,0,0,0,0,0,0,"Candee,Martin ",911 Dispatch,,"{'latitude': '44.24206', 'longitude': '-75.7005'}",1618,2089,858
